Name of run in first row, energies in second, and eigenvalues in thirdThe rest is values of the wavefunction in colums. The last column is the space discretization.Hartree,Exchange,Exchange Correlation
(-2.863570444513181+0j),(-2.7247671243695963+0j),(-2.8248214224960826+0j)
(-0.919422158889185+0j),(-0.46471370147637175+0j),(-0.5125602639048956+0j)
0.84784531206568,0.8088386154303594,0.8170741176924421,0.665
0.8459250160239219,0.8068881825556211,0.8150467463643025,0.67
0.8439285523675686,0.8048718938817269,0.8129526996969683,0.675
0.8418577937327094,0.802791523128528,0.8107937845867043,0.68
0.8397145895051455,0.8006488169882876,0.8085717803683102,0.685
0.8375007657020158,0.7984454951904155,0.8062884388821246,0.6900000000000001
0.8352181248746531,0.7961832505834572,0.8039454845586961,0.6950000000000001
0.8328684460310647,0.7938637492335595,0.8015446145198252,0.7000000000000001
0.8304534845775223,0.7914886305379636,0.7990874986953453,0.705
0.8279749722780909,0.7890595073529874,0.7965757799542801,0.71
0.8254346172312658,0.786577966135401,0.7940110742495757,0.715
0.822834103862848,0.7840455670963157,0.7913949707757956,0.72
0.8201750929342682,0.7814638443668059,0.7887290321383422,0.725
0.8174592215654626,0.7788343061744288,0.7860147945340444,0.73
0.8146881032716695,0.7761584350299053,0.7832537679419036,0.735
0.8118633280134258,0.7734376879233127,0.7804474363234288,0.74
0.8089864622587721,0.7706734965288444,0.7775972578319205,0.745
0.8060590490574226,0.7678672674178819,0.7747046650297529,0.75
0.8030826081259942,0.7650203822793997,0.7717710651135159,0.755
0.8000586359437419,0.7621341981472353,0.7687978401458426,0.76
0.796988605858005,0.759210047633822,0.7657863472938846,0.765
0.7938739681993376,0.7562492391694787,0.7627379190733976,0.77
0.790716150405187,0.7532530572471344,0.7596538635983477,0.775
0.7875165571517747,0.750222762671747,0.7565354648352528,0.78
0.7842765704939817,0.7471595928140629,0.7533839828618496,0.785
0.7809975500123228,0.7440647618681807,0.7502006541298338,0.79
0.7776808329668208,0.7409394611127081,0.7469866917309297,0.795
0.7743277344572366,0.7377848591748283,0.7437432856661276,0.8
0.7709395475893318,0.7346021022971819,0.7404716031176526,0.805
0.7675175436465158,0.7313923146069249,0.7371727887232437,0.81
0.7640629722669713,0.7281565983869461,0.7338479648524487,0.8150000000000001
0.7605770616252135,0.7248960343486365,0.7304982318846059,0.8200000000000001
0.7570610186184152,0.7216116819060435,0.7271246684882671,0.8250000000000001
0.7535160290566516,0.7183045794511721,0.7237283319015265,0.8300000000000001
0.7499432578570155,0.7149757446300268,0.7203102582133807,0.835
0.7463438492412007,0.7116261746191949,0.7168714626455116,0.84
0.742718926936261,0.7082568464028611,0.7134129398343704,0.845
