Name of run in first row, energies in second, and eigenvalues in thirdThe rest is values of the wavefunction in colums. The last column is the space discretization.Hartree,Exchange,Exchange Correlation
(-2.8614902746293387+0j),(-2.7223976102934087+0j),(-2.8233117448462304+0j)
(-0.9178129382165808+0j),(-0.46305802313530064+0j),(-0.5114825101733056+0j)
0.7889153431491512,0.7662005210031588,0.7766679540983875,0.405
0.7939396967568385,0.770685673175149,0.7811776591325537,0.41000000000000003
0.7987748574726373,0.7749866147792233,0.7854998599534622,0.41500000000000004
0.8034226459040235,0.7791055459363855,0.7896368066109423,0.42
0.8078849412579514,0.7830447128038134,0.7935907958593245,0.425
0.8121636769679373,0.7868064031268498,0.7973641666289984,0.43
0.8162608365135009,0.7903929420078869,0.8009592957190868,0.435
0.8201784494244848,0.7938066878836276,0.8043785937021488,0.44
0.8239185874633855,0.7970500287020511,0.8076245010325389,0.445
0.8274833609787331,0.8001253782914542,0.8106994843500481,0.45
0.8308749154230459,0.8030351729131943,0.8136060329710942,0.455
0.834095428029021,0.8057818679910117,0.8163466555594181,0.46
0.8371471046377903,0.8083679350096635,0.8189238769693477,0.465
0.8400321766734918,0.8107958585755991,0.8213402352540893,0.47000000000000003
0.8427528982584022,0.8130681336330464,0.8235982788324238,0.47500000000000003
0.8453115434630829,0.8151872628293465,0.8257005638071904,0.48
0.8477104036864689,0.8171557540225444,0.8276496514289152,0.485
0.849951785160672,0.818976117925972,0.8294481056987936,0.49
0.8520380065756636,0.8206508658834916,0.83109849110473,0.495
0.8539713968190573,0.822182507770097,0.8326033704851996,0.5
0.8557542928265525,0.8235735500121748,0.8339653030150121,0.505
0.8573890375386141,0.8248264937227507,0.8351868423077603,0.51
0.8588779779590923,0.8259438329460678,0.8362705346303119,0.515
0.8602234633118232,0.8269280530073196,0.8372189172237697,0.52
0.8614278432912577,0.8277816289624952,0.8380345167267474,0.525
0.8624934664033865,0.8285070241442688,0.838719847696248,0.53
0.8634226783931617,0.8291066887990758,0.8392774085814281,0.535
0.8642178207552065,0.8295830588121194,0.8397096845262408,0.54
0.8648812293241565,0.8299385545155724,0.8400191447200765,0.545
0.8654152329415603,0.8301755795766299,0.840208241268268,0.55
0.8658221521962011,0.8302965199616815,0.840279408140099,0.555
0.8661042982346604,0.8303037429731069,0.8402350601905562,0.56
0.8662639716395784,0.8301995963551826,0.8400775922525978,0.5650000000000001
0.866303461372351,0.8299864074662521,0.8398093782965206,0.5700000000000001
0.866225043778107,0.8296664825135629,0.8394327706534485,0.5750000000000001
0.866030981649844,0.8292421058483592,0.8389500992995558,0.58
